ReservacionID,CustomerID,Nombre,Apellido,Correo,Numero,DiaReservacion,HoraReservacion,NAsistentes,Especificaciones,Mesa,Estado,PlataformaReserva,Correp
1,CUST1607,Kimberly,Gonzalez,garzaluke@example.com,033-191-4087,14-Oct-2025,09:30 PM,1,,1,Pendiente,Llamada,
2,CUST1775,Joseph,russo,lisa52@.com,9099900716,03/11/2025,13:45,3,Couple artist team husband military first.,12,Pendiente , sitioweb,
3,CUST842,Katherine,Ferguson,dannyryan@example.com,2872202477,2025-10-04,14:30,4,It us special.,14,Pendiente,Sitio,
4,CUST1360,Catherine,Little,knightsharon@example.net,6146334387,13/09/2025,03:45 PM,3,,24,Pendiente ,Telegono,
5,CUST1767,Felicia,Young,henrytimothy@example.com,7221163990,14-Oct-2025,16:30,10,,6,Pendiente ,Sitio,
6,CUST1411,Thomas,Rodriguez,robertnoble@example.net,6167629280,31/10/2025,14:30:00,5,,28,Pendiente ,Aplicacion-movil,
7,CUST1343,Kristin,Singleton,deborah33@example.net,,09-23-2025,19:15:00,5,,30,confirmado,Llamada,
8,CUST1476,Michelle,Edwards,maysamber@email..com,3139128575,2025-11-24,04:45 PM,8,Explain up begin.,22,Pendiente,Aplicacion,
9,CUST250,Shannon,King,williamchang@example.com,2440615782,09-22-2025,09:45 PM,6,Water able fine support hit.,11,Confirmado,Aplicacion,
10,CUST951,Christopher,Garza,jdiaz@example.com,(865) 801-0014,09-15-2025,15:00:00,3,Government little group nation.,18,cancelado,Aplicacion,
11,CUST502,Mary,Estes,schmidtcole@example.net,(544) 826-9836,23-Nov-2025,15:30,0,City avoid major.,23, Confirmado,Telegono,
12,CUST996,Jessica,Johnson,carpenterryan@example.org,,17/11/2025,12:15 PM,1, Citizen debate exist offer. ,9,Cancelado, sitioweb,
13,CUST22,Christine,West,jenna18@example.org,586-257-0130,2025-09-18,18:30:00,8,,16,Cancelado,Telegono,
14,CUST287,Margaret,Phillips,erichaynes@example.com,310-778-8166,11-15-2025,21:45:00,10,Deal issue story voice we help another.,8,Pendiente ,Aplicacion,
15,CUST1774,Kimerly,Martin,rodriguezmegan@example.com,,10-08-2025,12:15,4,Shake sense main word.,14, Confirmado, sitioweb,
16,CUST194,Cynthia,Murphy,mjohnson@example.com,4245097326,01/10/2025,04:45 PM,9,First road behavior.,27,No-mostar,telefono,
17,CUST1650,Jennifer,logan,baileyjames@example.net,632-580-2769,2025-10-19,12:15,5,,18,Cancelado,Sitio,
18,CUST1027,Jacqueline,Mills,brittney78@example.org,3955007040,10-22-2025,14:15,2,,18,cancelado, sitioweb,
19,CUST1364,Katrina,williams,beckeramy@example.com,,11-19-2025,22:45,6,Entire fight return social.,23,Pendiente,En-linea,
20,CUST1353,Terri,Clark,onguyen@example.com,0985968347,11/09/2025,02:30 PM,1,,9, Confirmado,telefono,
21,CUST474,Jason,Wilson,chanjames@email..com,5049534281,2025-11-24,06:45 PM,4,,25,cancelado, sitioweb,
22,CUST1168,Timothy,Moore,scottwebster@example.net,506-334-3643,29/09/2025,21:15,1,  ,11,Pendiente,Aplicacion-movil,
23,CUST1554,Rhonda,Smith,tannerjonathan@example.net,6343818989,09/11/2025,12:00:00,0,Last his race.,26, Confirmado,Sitio,
24,CUST1298,Jessica,Adams,adriennelevine@example.net,(965) 549-8190,15-Sep-2025,22:00:00,8,,9,cancelado,telefono,
25,CUST1373,Samantha,Ali,robertsjoseph@example.com,3347884317,12-07-2025,09:30 PM,2, Reduce type real whatever certainly. ,3, Confirmado,Llamada,
26,CUST675,Ronald,Brown,tranbrandon@example.net,,12-Oct-2025,04:30 PM,6,,29,No-mostar, sitioweb,
27,CUST634,Wanda,Williams,jenniferhines@example.net,(508) 734-9748,10-03-2025,15:45,10,  ,19,Confirmado,Telegono,
28,CUST510,Billy,Marshall,sanchezjames@example.net,6508950155,28-Sep-2025,21:00,4,After number new nature a throughout.,1,cancelado,Aplicacion,
29,CUST820,Daniel,Keith,juarezfrank@example.net,3156295001,12-08-2025,14:15,3,,28,Pendiente,Telegono,
30,CUST1435,Evan,Hines,donna97@example.org,835-243-9628,20/10/2025,09:30 PM,10,,27,Cancelado,Telegono,
31,CUST1130,Anthony,Jennings,chavezteresa@example.com,(127) 491-1605,2025-11-04,21:45:00,7,  ,9,confirmado,telefono,
32,CUST1323,David,Smith,billyvega@example.com,(105) 849-8108,2025-10-28,22:00:00,10,Effort travel pick.,4,Pendiente ,Llamada,
33,CUST1042,Kristen,walker,jamie83@example.org,(377) 563-3733,05-Dec-2025,15:15,3,Rock side I base trade imagine.,6,Cancelado,Telegono,
34,CUST1266,Danielle,Pierce,hnorton@example.net,6518863344,09-15-2025,08:00 PM,5,Practice goal economy.,10,CONFIRMADO,Sitio,
35,CUST1124,Michelle,Johnson,ppadilla@example.org,,10-28-2025,01:00 PM,6,,5,No-mostar,Sitio,
36,CUST1602,Teresa,Smith,vsmith@example.net,6020854235,26-Nov-2025,15:30:00,8,Prevent second fish family early hit.,4, Confirmado,Aplicacion-movil,
