reservacionid,customerid,nombre,apellido,correo,correo_valido,numero,fechahora_reservacion,nasistentes,mesa,estado,plataformareserva,especificaciones,hora,dia_semana,Cluster
2507,CUST140,Deborah,Bradley,cbryant@.com,True,7251182403.0,2025-10-22 15:30:00,3,29,No Presentado,App,Ninguna,15,2,0
1064,CUST676,Kathryn,Zimmerman,cyoung@.com,True,1323086131.0,2025-10-23 13:15:00,1,24,Pendiente,Teléfono,Ninguna,13,3,0
608,CUST1409,Amanda,James,hahnwhitney@example.org,True,7505828204.0,2025-10-23 15:00:00,6,15,Confirmado,Sitio Web,  ,15,3,1
3428,CUST772,Linda,Gibson,daniel83@email..com,True,5412472707.0,2025-10-23 22:15:00,3,13,Confirmado,Teléfono,Ninguna,22,3,0
2805,CUST1390,Jose,Stewart,amanda19@example.net,True,9759846231.0,2025-10-24 12:00:00,8,13,Confirmado,App,Ninguna,12,4,1
885,CUST1619,Mandy,Russell,christopherlopez@example.net,True,1423192075.0,2025-10-24 13:30:00,4,4,Cancelado,Sitio Web,Ninguna,13,4,1
686,CUST996,Grace,Castillo,iwalker@example.net,True,7200248946.0,2025-10-24 18:45:00,1,24,Pendiente,Otra,Ninguna,18,4,0
2692,CUST313,Allison,Martinez,paulrichardson@example.net,True,4333494833.0,2025-10-24 19:45:00,8,22,Pendiente,Teléfono,Raise popular large determine carry.,19,4,0
1177,CUST532,Carl,Payne,alexander37@example.net,True,5388772203.0,2025-10-24 21:15:00,5,3,Confirmado,Sitio Web,Medical exactly toward.,21,4,1
3153,CUST897,Victria,Robinson,kathryn41@example.net,True,9371651936.0,2025-10-25 14:45:00,9,9,Pendiente,Sitio Web,Ninguna,14,5,1
2654,CUST1469,Casey,Gallagher,beckermichael@example.org,True,9461418269.0,2025-10-25 15:30:00,4,5,Confirmado,Sitio Web,Ninguna,15,5,1
2526,CUST347,Paul,Carey,katieandrews@example.org,True,9446135284.0,2025-10-25 18:15:00,5,9,Confirmado,App,Ninguna,18,5,1
2217,CUST1831,Brittany,White,no_proporcionado,False,7835540579.0,2025-10-25 19:00:00,5,3,Confirmado,Sitio Web,Ninguna,19,5,1
850,CUST1548,Jacob,Bullock,hmeyer@example.net,True,52023735.0,2025-10-25 21:15:00,4,21,Confirmado,App,Ninguna,21,5,0
2274,CUST216,Kevin,Marshall,saundersmary@example.com,True,4315162705.0,2025-10-26 15:30:00,2,4,Pendiente,Teléfono,  ,15,6,1
1590,CUST1586,Douglas,Becker,latashahutchinson@example.com,True,5186217106.0,2025-10-26 15:30:00,5,28,Confirmado,Otra,Ninguna,15,6,0
685,CUST933,Stephanie,Larson,ilopez@example.org,True,1375087970.0,2025-10-27 14:30:00,5,23,Cancelado,App,  ,14,0,2
3547,CUST594,Elizabeth,Sullivan,zacharywallace@example.com,True,268244772.0,2025-10-27 14:45:00,8,17,Confirmado,App,Challenge long sport.,14,0,2
610,CUST9,Caleb,Campbell,kayla52@example.com,True,,2025-10-27 15:30:00,10,1,Confirmado,Teléfono,Ninguna,15,0,2
657,CUST587,Ruth,Chang,danielmoore@example.com,True,821147137.0,2025-10-27 16:45:00,2,17,Pendiente,Sitio Web,Ninguna,16,0,0
1910,CUST1505,Joseph,Wall,nicole48@.com,True,4466380653.0,2025-10-28 16:15:00,5,4,Cancelado,App,Ever again effort pressure across.,16,1,2
