reservacionid,customerid,nombre,apellido,correo,correo_valido,numero,fechahora_reservacion,nasistentes,mesa,estado,plataformareserva,especificaciones
3818,CUST11,Jennifer,Smith,stricklandjacob@example.com,True,6051877957,2025-01-10 12:30:00,9,1,Confirmado,App,Ninguna
1358,CUST543,Brian,Poole,sbennett@example.org,True,0792519159,2025-01-10 20:30:00,7,17,Pendiente,App,Ninguna
3082,CUST1387,Donald,Kemp,teresareeves@example.org,True,1486156143,2025-01-10 20:30:00,10,18,Confirmado,Sitio Web,Ninguna
2196,CUST1316,Jennifer,Huff,fblackwell@example.org,True,5824736436,2025-01-10 21:00:00,1,11,Cancelado,Teléfono,Well example talk care name weight.
1365,CUST339,Megan,Sherman,no_proporcionado,False,0318295758,2025-01-10 21:45:00,6,7,No Presentado,Teléfono,Ninguna
2192,CUST1822,Oy,Sims,owhite@example.net,True,8969471232,2025-01-10 22:45:00,1,19,Pendiente,Teléfono,  
1175,CUST1184,Patricia,James,johnsonroberto@example.org,True,5383384831,2025-01-11 12:15:00,10,13,Cancelado,Otra,Out country response.
776,CUST1202,Danielle,Waller,matthewcox@example.com,True,4169813215,2025-01-11 13:00:00,3,21,Pendiente,Sitio Web,Leg leg paper from.
2944,CUST617,Phillip,Lawson,harveyjessica@example.org,True,,2025-01-11 15:00:00,10,14,No Presentado,Sitio Web,Ninguna
307,CUST1476,Kisten,Robbins,graydrew@example.com,True,7830005230,2025-01-11 20:15:00,6,30,Confirmado,Teléfono, Far head Mr thousand evening. 
795,CUST443,Jessca,Morton,kevin19@example.com,True,5383700822,2025-01-12 13:30:00,2,20,Cancelado,Teléfono,Ninguna
3120,CUST441,Kristi,Cunningham,christopher62@.com,True,0081245704,2025-01-12 14:30:00,10,29,Pendiente,Otra,Federal grow he there.
3857,CUST379,Colleen,Tyler,elizabethalexander@example.net,True,5638486905,2025-02-10 12:30:00,2,21,Confirmado,Teléfono,Ninguna
246,CUST1768,Ryan,Finley,lmills@example.net,True,0152295562,2025-02-10 13:30:00,7,11,No Presentado,Teléfono,Authority face card far back by.
420,CUST1966,James,Lane,david63@example.com,True,,2025-02-10 16:15:00,5,15,No Presentado,App,Type Mr itself fill light.
2673,CUST1672,Alex,Rodriguez,charles08@example.org,True,2324481606,2025-02-10 22:30:00,6,12,Pendiente,Teléfono,Ninguna
1018,CUST1631,Dennis,Thompson,michaelhudson@example.org,True,4206697427,2025-02-11 16:00:00,8,9,No Presentado,App,Have fast environmental of arrive employee.
1614,CUST1072,Dominic,Brown,no_proporcionado,False,7781930481,2025-02-11 19:00:00,8,13,Pendiente,App,Ninguna
1327,CUST799,Jeff,Washington,jonescarl@example.net,True,6431641075,2025-02-11 21:15:00,5,24,Confirmado,Sitio Web,Dinner many strong.
1495,CUST1162,Nancy,Hammond,sylvia31@example.net,True,4168180284,2025-02-11 21:45:00,4,13,Cancelado,Otra,Well every movement positive quickly project.
1851,CUST906,Mariah,Alexander,wramsey@example.org,True,1704179429,2025-02-12 15:30:00,3,28,No Presentado,Sitio Web,Ninguna
2965,CUST620,Marissa,Rodriguez,danielhunter@example.net,True,,2025-03-10 21:15:00,2,8,Confirmado,Teléfono,Out day kind meeting majority any.
815,CUST1906,Gerald,Chapman,no_proporcionado,False,3435523982,2025-03-11 20:45:00,6,16,Confirmado,Sitio Web,Ninguna
2852,CUST1824,Chad,Hoffman,joseph71@example.org,True,4134116709,2025-03-12 12:45:00,8,7,No Presentado,Teléfono,Ninguna
3563,CUST1525,Amanda,Patel,brianna31@example.org,True,8461987944,2025-03-12 17:45:00,6,4,No Presentado,App,Ninguna
2680,CUST1215,Jessica,Garcia,trevorbanks@example.com,True,8506376808,2025-03-12 19:15:00,2,24,Confirmado,Teléfono,Cause woman watch.
1529,CUST389,Ashley,Hart,stephen38@example.org,True,0499730347,2025-03-12 21:15:00,6,17,Cancelado,Sitio Web,Ninguna
3921,CUST1398,Briana,Johnson,bcastillo@example.com,True,8132131585,2025-04-10 13:45:00,7,6,Pendiente,App,Ninguna
